model,rows,mean_deviation_from_pinn,std_deviation_from_pinn,mean_deviation_from_ensemble,std_deviation_from_ensemble
pinn,40,0.0,0.0,0.9577146754138885,0.00586491590600101
mgn,40,54.77779739661505,14.965225647144814,0.8191827976582993,0.1411958801491883
fno,40,1006670627.2108549,262952325.52489975,9213421.915012078,642579.0229063574
transformer,40,1750.3247053384111,1975.958844784163,0.4913447446307301,0.020826070405741796
