model,rows,ok_rows,failed_rows,fallback_count,non_finite_output_count,scale_outlier_count,max_displacement_mean,max_displacement_std,max_temperature_perturbation_mean,max_temperature_perturbation_std,travel_time_ms_pred_mean,travel_time_ms_pred_std,magnitude_mean,magnitude_std,displacement_cv,temperature_cv
pinn,40,40,0,0,0,0,1.7889674999999997e-05,5.71382046686489e-06,0.175775175,0.1568661278372769,0.08742345,0.016383461977140554,0.03678415,0.007307974666110497,0.3193920776573577,0.8924248138980769
mgn,40,40,0,0,0,0,0.0020457988139241,0.0,3.21051025390625,0.0,2.3400501,0.711380845458371,1.0,0.0,0.0,0.0
fno,40,40,0,0,0,80,66372.845703125,1.1039286422888144,119227.3119140625,0.6425919311362681,1.3500501,0.25953326470838933,71745.10070325,1.0232466968152798,1.663223311573092e-05,5.389636995250216e-06
transformer,40,40,0,0,0,0,0.001581441775,0.00026734755838963035,520.988867075,200.99798680888193,0.1105275,0.020833363691875315,1.0,0.0,0.1690530518517701,0.38580092495517154
