case_id,model_a,model_b,travel_time_ms_pred_abs_diff,travel_time_ms_pred_rel_diff,max_displacement_abs_diff,max_displacement_rel_diff,max_temperature_perturbation_abs_diff,max_temperature_perturbation_rel_diff,magnitude_abs_diff,magnitude_rel_diff
case_001_basalt,pinn,mgn,1.426102,0.9387870369754663,0.0020337898139241002,0.9941299208346421,3.15802325390625,0.983651508374059,0.9649490000000001,0.964948999999035
case_001_basalt,pinn,fno,1.0261019999999998,0.9169074873326389,66372.492175491,0.9999999998190666,119226.963138,0.9999995597725925,71744.745005,0.9999995114487775
case_001_basalt,pinn,transformer,0.024655999999999997,0.20958144911589555,0.0015731080000000001,0.9924239024675,364.47208,0.9998560124481239,0.9649490000000001,0.964948999999035
case_001_basalt,mgn,fno,0.40000000000000013,0.3574332716757747,66372.49014170119,0.9999999691770077,119223.8051147461,0.9999730722920718,71743.780056,0.9999860617037334
case_001_basalt,mgn,transformer,1.401446,11.912600727517658,0.0004606818139241001,0.2906295331092093,361.31405674609374,0.991192609375194,0.0,0.0
case_001_basalt,fno,transformer,1.0014459999999998,8.512512325248098,66372.490602383,41872297.47741693,118862.491058,326.0753919447072,71743.780056,71743.78005592825
case_002_basalt,pinn,mgn,1.427253,0.9395447274348856,0.0020335958139241,0.994035092350734,3.19301025390625,0.9945491530576168,0.964921,0.964920999999035
case_002_basalt,pinn,fno,1.027253,0.9179360015718862,66374.960925297,0.9999999998161505,119227.310625,0.9999998532215703,71747.00808300001,0.9999995110739279
case_002_basalt,pinn,transformer,0.025806999999999997,0.2193652034934262,0.001572915,0.9923015188823158,364.507311,0.9999519922938771,0.964921,0.964920999999035
case_002_basalt,mgn,fno,0.40000000000000013,0.3574332716757747,66374.95889170119,0.9999999691781541,119224.1176147461,0.9999730723626504,71746.043162,0.999986062143387
case_002_basalt,mgn,transformer,1.401446,11.912600727517658,0.0004606808139241002,0.29062871889251873,361.31430074609375,0.9911926152705494,0.0,0.0
case_002_basalt,fno,transformer,1.0014459999999998,8.512512325248098,66374.959352382,41873828.51655723,118862.803314,326.07603029248855,71746.043162,71746.04316192825
case_003_basalt,pinn,mgn,2.625109,0.9654365982733321,0.0020323518139241,0.9934270169178394,3.10554325390625,0.9673051970872066,0.964932,0.964931999999035
case_003_basalt,pinn,fno,1.425109,0.9381333561533955,66372.492174053,0.999999999797401,119226.910658,0.9999991196038963,71744.744988,0.9999995112118265
case_003_basalt,pinn,transformer,0.023663000000000003,0.2011407296572614,0.00157167,0.9915167139135366,364.41929400000004,0.9997120438576212,0.964932,0.964931999999035
case_003_basalt,mgn,fno,1.2,0.7899466127742332,66372.49014170119,0.9999999691770077,119223.8051147461,0.9999730722920718,71743.780056,0.9999860617037334
case_003_basalt,mgn,transformer,2.601446,22.112865934326333,0.0004606818139241001,0.2906295331092093,361.3137507460938,0.9911926019818273,0.0,0.0
case_003_basalt,fno,transformer,1.401446,11.912600727517658,66372.490602383,41872297.47741693,118862.491364,326.0756665082428,71743.780056,71743.78005592825
case_004_basalt,pinn,mgn,3.226102,0.9719838871494981,0.0020309278139241,0.9927309562936902,3.14490325390625,0.979564930552346,0.964827,0.9648269999990351
case_004_basalt,pinn,fno,1.626102,0.9459085911726867,66372.492172629,0.9999999997759464,119226.950018,0.9999994497304184,71744.744883,0.9999995097483054
case_004_basalt,pinn,transformer,0.024655999999999997,0.20958144911589555,0.001570246,0.9906183575151749,364.45896,0.9998200203609294,0.964827,0.9648269999990351
case_004_basalt,mgn,fno,1.6,0.9307249765859084,66372.49014170119,0.9999999691770077,119223.8051147461,0.9999730722920718,71743.780056,0.9999860617037334
case_004_basalt,mgn,transformer,3.2014460000000002,27.212998537730673,0.0004606818139241001,0.2906295331092093,361.31405674609374,0.991192609375194,0.0,0.0
case_004_basalt,fno,transformer,1.601446,13.612644928652436,66372.490602383,41872297.47741693,118862.491058,326.0753919447072,71743.780056,71743.78005592825
case_005_basalt,pinn,mgn,2.624204,0.9651037663332347,0.0020320488139241003,0.9932789085125606,3.05306325390625,0.950958885800354,0.964889,0.964888999999035
case_005_basalt,pinn,fno,1.424204,0.937537604749595,66372.49217375,0.9999999997928358,119226.858178,0.9999986794352004,71744.744945,0.9999995106124797
case_005_basalt,pinn,transformer,0.022758,0.1934480296471265,0.0015713659999999998,0.99132555535915,371.32293,0.9995761633460358,0.964889,0.964888999999035
case_005_basalt,mgn,fno,1.2,0.7899466127742332,66372.49014170119,0.9999999691770077,119223.8051147461,0.9999730722920718,71743.780056,0.9999860617037334
case_005_basalt,mgn,transformer,2.601446,22.112865934326333,0.00046068281392410023,0.29063034732692744,368.2698667460937,0.9913575239698131,0.0,0.0
case_005_basalt,fno,transformer,1.401446,11.912600727517658,66372.490602384,41872323.89333757,118855.535248,319.95104615714246,71743.780056,71743.78005592825
case_006_basalt,pinn,mgn,3.223939,0.9713322025009953,0.0020305518139241002,0.9925471650052913,3.01370325390625,0.9386991523352145,0.964772,0.9647719999990351
case_006_basalt,pinn,fno,1.623939,0.9446503673449647,66372.492172253,0.9999999997702813,119226.818818,0.9999983493086784,71744.74482800001,0.9999995089816992
case_006_basalt,pinn,transformer,0.022493,0.19119547108062293,0.001569869,0.9903811449822089,371.28357,0.999470208893427,0.964772,0.9647719999990351
case_006_basalt,mgn,fno,1.6,0.9307249765859084,66372.49014170119,0.9999999691770077,119223.8051147461,0.9999730722920718,71743.780056,0.9999860617037334
case_006_basalt,mgn,transformer,3.2014460000000002,27.212998537730673,0.00046068281392410023,0.29063034732692744,368.2698667460937,0.9913575239698131,0.0,0.0
case_006_basalt,fno,transformer,1.601446,13.612644928652436,66372.490602384,41872323.89333757,118855.535248,319.95104615714246,71743.780056,71743.78005592825
case_007_basalt,pinn,mgn,1.42625,0.9388844637243752,0.0020298488139241003,0.9922035339527794,3.14490325390625,0.979564930552346,0.96438,0.9643799999990356
case_007_basalt,pinn,fno,1.0262499999999999,0.917039737643159,66372.49217155,0.9999999997596896,119226.950018,0.9999994497304184,71744.74443600001,0.999999503517887
case_007_basalt,pinn,transformer,0.024803999999999993,0.21083948182473525,0.001569167,0.9899376506655738,364.45896,0.9998200203609294,0.96438,0.9643799999990356
case_007_basalt,mgn,fno,0.40000000000000013,0.3574332716757747,66372.49014170119,0.9999999691770077,119223.8051147461,0.9999730722920718,71743.780056,0.9999860617037334
case_007_basalt,mgn,transformer,1.401446,11.912600727517658,0.0004606818139241001,0.2906295331092093,361.31405674609374,0.991192609375194,0.0,0.0
case_007_basalt,fno,transformer,1.0014459999999998,8.512512325248098,66372.490602383,41872297.47741693,118862.491058,326.0753919447072,71743.780056,71743.78005592825
case_008_basalt,pinn,mgn,1.089167,0.9506082436247875,0.0020206948139241,0.9877289981708531,2.91857625390625,0.9090692827890174,0.963057,0.9630569999990369
case_008_basalt,pinn,fno,0.6891670000000001,0.9241161341870633,66372.492162396,0.999999999621771,119226.723691,0.9999975514442053,71744.743113,0.999999485077521
case_008_basalt,pinn,transformer,0.013266,0.1899022288361953,0.001560012,0.9841626726471989,371.18844299999995,0.9992141334560962,0.963057,0.9630569999990369
case_008_basalt,mgn,fno,0.4,0.5363670252273038,66372.49014170119,0.9999999691770077,119223.8051147461,0.9999730722920718,71743.780056,0.9999860617037334
case_008_basalt,mgn,transformer,1.075901,15.401477303414094,0.00046068281392410023,0.29063034732692744,368.2698667460937,0.9913575239698131,0.0,0.0
case_008_basalt,fno,transformer,0.6759010000000001,9.675494223776065,66372.490602384,41872323.89333757,118855.535248,319.95104615714246,71743.780056,71743.78005592825
case_009_basalt,pinn,mgn,2.027253,0.9566620577696291,0.0020329738139241,0.9937310546342867,3.19301025390625,0.9945491530576168,0.964923,0.964922999999035
case_009_basalt,pinn,fno,1.2272530000000001,0.9303785185234287,66374.960924675,0.9999999998067796,119227.310625,0.9999998532215703,71747.00808500001,0.9999995111018036
case_009_basalt,pinn,transformer,0.025806999999999997,0.2193652034934262,0.001572293,0.9919091190738424,364.507311,0.9999519922938771,0.964923,0.964922999999035
case_009_basalt,mgn,fno,0.7999999999999998,0.606478708806369,66374.95889170119,0.9999999691781541,119224.1176147461,0.9999730723626504,71746.043162,0.999986062143387
case_009_basalt,mgn,transformer,2.001446,17.012733330921996,0.0004606808139241002,0.29062871889251873,361.31430074609375,0.9911926152705494,0.0,0.0
case_009_basalt,fno,transformer,1.201446,10.21255652638288,66374.959352382,41873828.51655723,118862.803314,326.07603029248855,71746.043162,71746.04316192825
case_010_basalt,pinn,mgn,3.225371,0.9717636460593199,0.0020304708139241004,0.9925075716692267,3.07930325390625,0.9591320414437803,0.96476,0.9647599999990351
case_010_basalt,pinn,fno,1.625371,0.945483366199009,66372.492172172,0.999999999769061,119226.884418,0.9999988995195483,71744.744816,0.9999995088144396
case_010_basalt,pinn,transformer,0.023925000000000002,0.20336778756074797,0.001569789,0.9903300507215997,364.393054,0.9996400596228051,0.96476,0.9647599999990351
case_010_basalt,mgn,fno,1.6,0.9307249765859084,66372.49014170119,0.9999999691770077,119223.8051147461,0.9999730722920718,71743.780056,0.9999860617037334
case_010_basalt,mgn,transformer,3.2014460000000002,27.212998537730673,0.0004606818139241001,0.2906295331092093,361.3137507460938,0.9911926019818273,0.0,0.0
case_010_basalt,fno,transformer,1.601446,13.612644928652436,66372.490602383,41872297.47741693,118862.491364,326.0756665082428,71743.780056,71743.78005592825
case_011_granite,pinn,mgn,2.327174,0.9749228540519427,0.0020247558139241,0.9897140418468857,2.84503325390625,0.8861623321226875,0.97299,0.9729899999990269
case_011_granite,pinn,fno,1.127174,0.9495717898552614,66372.492166457,0.9999999996829559,119226.650148,0.9999969346125281,71744.753046,0.9999996235266178
case_011_granite,pinn,transformer,0.014853000000000005,0.1988007441784054,0.001363937,0.9848062780799677,279.677644,0.9986949259860555,0.97299,0.9729899999990269
case_011_granite,mgn,fno,1.2,1.0109230232655417,66372.49014170119,0.9999999691770077,119223.8051147461,0.9999730722920718,71743.780056,0.9999860617037334
case_011_granite,mgn,transformer,2.312321,30.949379625621383,0.0006608188139241001,0.4771323870719921,276.83261074609374,0.9885356575000203,0.0,0.0
case_011_granite,fno,transformer,1.112321,14.887917765116002,66372.49080252,47923068.025962055,118946.972504,424.74520380737926,71743.780056,71743.78005592825
case_012_granite,pinn,mgn,2.541395,0.9686298095701573,0.0020312008139241,0.9928644005004267,3.16989525390625,0.9873493629395605,0.974355,0.9743549999990255
case_012_granite,pinn,fno,1.3413950000000001,0.9421887039477094,66374.960922902,0.9999999997800677,119227.28751,0.999999659348233,71747.017517,0.9999996425636671
case_012_granite,pinn,transformer,0.022528999999999993,0.21489960413778883,0.001370383,0.9894597824883808,280.002628,0.9998549688270785,0.974355,0.9743549999990255
case_012_granite,mgn,fno,1.2,0.842873608994555,66374.95889170119,0.9999999691781541,119224.1176147461,0.9999730723626504,71746.043162,0.999986062143387
case_012_granite,mgn,transformer,2.518866,24.02695664592906,0.0006608178139241002,0.4771313205357827,276.83273274609377,0.9885356624944267,0.0,0.0
case_012_granite,fno,transformer,1.318866,12.580397767801017,66374.959552519,47924815.93942024,118947.284882,424.7461342318463,71746.043162,71746.04316192825
case_013_granite,pinn,mgn,3.289018,0.9706123559542801,0.0020315228139241,0.9930217962314491,3.08486925390625,0.9608657222483272,0.974535,0.9745349999990254
case_013_granite,pinn,fno,1.6890180000000001,0.944323524362927,66372.492173224,0.9999999997849109,119226.889984,0.9999989462035986,71744.754591,0.9999996450612856
case_013_granite,pinn,transformer,0.026238999999999985,0.20854063677092596,0.001370705,0.9896922766523929,279.917541,0.9995513513340918,0.974535,0.9745349999990254
case_013_granite,mgn,fno,1.5999999999999999,0.8945538999470005,66372.49014170119,0.9999999691770077,119223.8051147461,0.9999730722920718,71743.780056,0.9999860617037334
