case_id,model,material,deviation_from_pinn_score,deviation_from_ensemble_score,travel_time_ms_pred_abs_diff_pinn,max_displacement_abs_diff_pinn,max_temperature_perturbation_abs_diff_pinn,magnitude_abs_diff_pinn,travel_time_ms_pred_rel_diff_pinn,max_displacement_rel_diff_pinn,max_temperature_perturbation_rel_diff_pinn,magnitude_rel_diff_pinn
case_001_basalt,pinn,basalt,0.0,0.9519179901048069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_001_basalt,mgn,basalt,68.09736046004984,0.6415080387072767,1.426102,0.0020337898139241002,3.15802325390625,0.9649490000000001,15.336408998845695,169.35545379037777,60.167722556939474,27.529856494036412
case_001_basalt,fno,basalt,1382803453.270085,9158008.395961259,1.0261019999999998,66372.492175491,119226.963138,71744.745005,11.034778681001473,5526895382.512751,2271552.2536195335,2046867.2791918388
case_001_basalt,transformer,basalt,1775.7084742025313,0.47979177635848,0.024655999999999997,0.0015731080000000001,364.47208,0.9649490000000001,0.2651524927919177,130.99407685951564,6944.044810963781,27.529856494036412
case_002_basalt,pinn,basalt,0.0,0.9523971850362238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_002_basalt,mgn,basalt,98.0382890557306,0.6415079640146573,1.427253,0.0020335958139241,3.19301025390625,0.964921,15.541154436495734,166.6471889926175,182.4577287842167,27.507084009592436
case_002_basalt,fno,basalt,1362022725.9861794,9158346.407155456,1.027253,66374.960925297,119227.310625,71747.00808300001,11.185611463667305,5439232605.594067,6812989.178182115,2045297.9868569432
case_002_basalt,transformer,basalt,5246.418261084344,0.4797917016658606,0.025806999999999997,0.001572915,364.507311,0.964921,0.2810087437494581,128.89575277425612,20828.989198809773,27.507084009592436
case_003_basalt,pinn,basalt,0.0,0.9605286234563258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case_003_basalt,mgn,basalt,59.04304703609526,0.8579991955370796,2.625109,0.0020323518139241,3.10554325390625,0.964932,27.93233738704704,151.13792390765047,29.585900843852485,27.51602600583107
case_003_basalt,fno,basalt,1234760022.9934828,9158008.40771988,1.425109,66372.492174053,119226.910658,71744.744988,15.163799065607263,4935858350.427207,1135851.3690670794,2045875.0138574806
