epoch,learning_rate,grad_norm,epochs_without_improvement,supervised_loss,velocity_consistency_loss,wave_residual_loss,thermal_residual_loss,normalized_supervised_loss,normalized_velocity_consistency_loss,normalized_wave_residual_loss,normalized_thermal_residual_loss,total_loss,val_supervised_loss,val_velocity_consistency_loss,val_wave_residual_loss,val_thermal_residual_loss,val_normalized_supervised_loss,val_normalized_velocity_consistency_loss,val_normalized_wave_residual_loss,val_normalized_thermal_residual_loss,val_total_loss,best_metric,best_so_far
1.0,0.001,8.307084381580353,0.0,0.7512021362781525,192.61060333251953,481000163377152.0,5.385669636614259e+19,1.0011512786149979,1.1801687180995941,1.6898452937602997,1.3060774207115173,1.5304818749427795,0.760396420955658,203.42538452148438,205938850004992.0,2.2115076603295826e+18,1.0134048461914062,1.2464333772659302,0.7235024571418762,0.053631220012903214,1.4000450372695923,1.4000450372695923,1.4000450372695923
2.0,0.001,3.3487155437469482,0.0,0.7371812909841537,192.61055755615234,98222295220224.0,1.991471445181884e+19,0.9824652373790741,1.1801684498786926,0.345073658041656,0.48295125272125006,1.3361623287200928,0.7430379986763,203.4254913330078,73136707993600.0,1.1930517548753224e+18,0.9902706742286682,1.246433973312378,0.2569431960582733,0.028932670131325722,1.3290201425552368,1.3290201425552368,1.3290201425552368
3.0,0.001,1.6844938397407532,0.0,0.7179221659898758,192.61064529418945,50308986175488.0,6.37105659599179e+18,0.9567980021238327,1.1801689863204956,0.17674506455659866,0.15450433734804392,1.2772399485111237,0.723393440246582,203.42575073242188,34790573080576.0,6.48758727070974e+17,0.9640897512435913,1.2464356422424316,0.12222591787576675,0.015733031556010246,1.288707971572876,1.288707971572876,1.288707971572876
4.0,0.001,1.0987480878829956,0.0,0.6980249285697937,192.61063385009766,45855515082752.0,2.9883347530248356e+18,0.9302802979946136,1.1801689267158508,0.16109916754066944,0.07247003400698304,1.2450558841228485,0.7001985311508179,203.4257354736328,54437502517248.0,6.804316713375498e+17,0.93317711353302,1.246435523033142,0.1912493258714676,0.016501132398843765,1.2647360563278198,1.2647360563278198,1.2647360563278198
5.0,0.001,0.8179249539971352,0.0,0.674414724111557,192.6105728149414,56502157049856.0,2.375970943165006e+18,0.8988142311573029,1.1801685690879822,0.19850284978747368,0.057619614992290735,1.2165876626968384,0.6770325303077698,203.42578125,57051753480192.0,2.4337464480938066e+18,0.9023030400276184,1.2464357614517212,0.20043368637561798,0.05902072787284851,1.2369064092636108,1.2369064092636108,1.2369064092636108
6.0,0.001,0.7543127983808517,0.0,0.650742381811142,192.6105194091797,57966089732096.0,2.970192398849671e+18,0.8672653287649155,1.180168241262436,0.20364592596888542,0.07203006558120251,1.186273455619812,0.6504222750663757,203.42567443847656,65214791811072.0,4.386210818186805e+18,0.8668386936187744,1.2464351654052734,0.22911199927330017,0.10636989027261734,1.2066771984100342,1.2066771984100342,1.2066771984100342
7.0,0.001,1.2356549501419067,0.0,0.6250278949737549,192.61048126220703,57318704152576.0,4.259829584435872e+18,0.8329948037862778,1.1801679730415344,0.20137153938412666,0.10330502688884735,1.1533392071723938,0.6262054443359375,203.4256591796875,52572354248704.0,3.92682249059618e+18,0.8345641493797302,1.2464350461959839,0.18469670414924622,0.09522927552461624,1.1694040298461914,1.1694040298461914,1.1694040298461914
8.0,0.001,1.345980316400528,0.0,0.5999739021062851,192.61041641235352,45245090758656.0,5.46311291348294e+18,0.7996045351028442,1.1801676154136658,0.15895463526248932,0.13248581998050213,1.1171661913394928,0.6010388135910034,203.4256134033203,44015755984896.0,7.10006939832864e+18,0.8010237812995911,1.2464346885681152,0.1546357423067093,0.17218361794948578,1.1367052793502808,1.1367052793502808,1.1367052793502808
9.0,0.001,1.578377515077591,0.0,0.5758480280637741,192.61034774780273,40096125419520.0,6.068318748027126e+18,0.767451211810112,1.18016716837883,0.14086533337831497,0.14716264978051186,1.0839376747608185,0.5782996416091919,203.425537109375,46519705141248.0,6.87087015220478e+18,0.7707185745239258,1.2464343309402466,0.16343259811401367,0.16662530601024628,1.1070016622543335,1.1070016622543335,1.1070016622543335
10.0,0.001,1.9145511090755463,0.0,0.5543585270643234,192.61026763916016,36329758392320.0,8.294947304578744e+18,0.7388114631175995,1.180166631937027,0.1276333685964346,0.20116056501865387,1.0566744804382324,0.5586243867874146,203.42544555664062,28899805233152.0,7.935503621880283e+18,0.7444967031478882,1.2464337348937988,0.1015305295586586,0.19244371354579926,1.0758804082870483,1.0758804082870483,1.0758804082870483
