epoch,learning_rate,grad_norm,epochs_without_improvement,supervised_loss,velocity_consistency_loss,wave_residual_loss,thermal_residual_loss,normalized_supervised_loss,normalized_velocity_consistency_loss,normalized_wave_residual_loss,normalized_thermal_residual_loss,total_loss,val_supervised_loss,val_velocity_consistency_loss,val_wave_residual_loss,val_thermal_residual_loss,val_normalized_supervised_loss,val_normalized_velocity_consistency_loss,val_normalized_wave_residual_loss,val_normalized_thermal_residual_loss,val_total_loss,best_metric,best_so_far
1.0,0.0005,66.54767048358917,0.0,1.017315573990345,98.68670654296875,73782117269504.0,1.5601350960486547e+19,1.0975042581558228,0.9740936979651451,1.4391647279262543,22.363336712121964,2.603111043572426,0.9842624068260193,94.35699462890625,48807672807424.0,6.662164978188943e+17,1.0618456602096558,0.9313569664955139,0.9520230889320374,0.954970121383667,1.4376356601715088,1.4376356601715088,1.4376356601715088
2.0,0.0005,14.09355080127716,0.0,1.0048867240548134,98.68671417236328,25625758924800.0,6.304503831472374e+17,1.0840957313776016,0.9740937724709511,0.49984588474035263,0.9037021733820438,1.4227888733148575,0.9715826511383057,94.35700988769531,25933356466176.0,2.5046577669000397e+17,1.0481665134429932,0.9313571453094482,0.5058457851409912,0.35902345180511475,1.3495415449142456,1.3495415449142456,1.3495415449142456
3.0,0.0005,11.746694326400757,0.0,0.9943223223090172,98.68671703338623,15888061693952.0,4.312056734647583e+17,1.0726986080408096,0.9740937873721123,0.3099062303081155,0.6181001914665103,1.3781176954507828,0.962794840335846,94.35699462890625,24625249517568.0,2.148252447145984e+17,1.0386860370635986,0.9313569664955139,0.48033034801483154,0.3079354763031006,1.3349549770355225,1.3349549770355225,1.3349549770355225
4.0,0.0005,6.201230704784393,0.0,0.9875996634364128,98.68670749664307,13832058372096.0,1.4059178803226214e+17,1.0654460191726685,0.9740937128663063,0.269802643917501,0.2015275191515684,1.3460261076688766,0.9561957716941833,94.35699462890625,11454669389824.0,3.578604546739405e+16,1.0315667390823364,0.9313569664955139,0.22343024611473083,0.051296547055244446,1.289313793182373,1.289313793182373,1.289313793182373
5.0,0.0005,3.599867045879364,0.0,0.9800620898604393,98.68669033050537,6340764631040.0,5.168424809188557e+16,1.0573143064975739,0.9740935191512108,0.12368044164031744,0.07408539671450853,1.3169100135564804,0.94643235206604,94.3569564819336,4026937901056.0,3.90139753833431e+16,1.021033763885498,0.9313566088676453,0.07854785025119781,0.05592353641986847,1.2645238637924194,1.2645238637924194,1.2645238637924194
6.0,0.0005,3.8179315328598022,0.0,0.9698818624019623,98.6866455078125,3821462880256.0,8.072565891688038e+16,1.0463316440582275,0.9740930944681168,0.07453993940725923,0.11571402940899134,1.3030945807695389,0.9353079795837402,94.35691833496094,8658419187712.0,2.9617682156355584e+16,1.0090324878692627,0.9313562512397766,0.1688876897096634,0.04245467111468315,1.260883092880249,1.260883092880249,1.260883092880249
7.0,0.0005,6.670641005039215,0.0,0.960323192179203,98.686598777771,5815228366848.0,1.8194601539639706e+17,1.036019504070282,0.9740926399827003,0.113429537974298,0.2608056287281215,1.3039259016513824,0.9276230335235596,94.35687255859375,3621062705152.0,5.945558876081357e+16,1.0007418394088745,0.9313557744026184,0.0706310123205185,0.08522501587867737,1.2449052333831787,1.2449052333831787,1.2449052333831787
8.0,0.0005,6.557191163301468,1.0,0.9537772163748741,98.6865701675415,4375531945984.0,1.788534934512599e+17,1.028957560658455,0.9740923345088959,0.08534739026799798,0.25637273397296667,1.2938340604305267,0.9220401644706726,94.35685729980469,5198103183360.0,2.8309991745755546e+17,0.9947188496589661,0.9313556551933289,0.10139214247465134,0.4058019816875458,1.257987141609192,1.257987141609192,1.2449052333831787
9.0,0.0005,6.28301939368248,0.0,0.9483960941433907,98.68656158447266,3450075348992.0,1.841455905552466e+17,1.0231522992253304,0.9740922600030899,0.06729580322280526,0.26395855378359556,1.2866028547286987,0.9168832302093506,94.3568344116211,3408407298048.0,1.60207227943125e+17,0.9891554713249207,0.9313554167747498,0.0664830431342125,0.2296447455883026,1.2401248216629028,1.2401248216629028,1.2401248216629028
10.0,0.0005,6.230062782764435,0.0,0.943458303809166,98.68653774261475,3016505458688.0,1.728322080740475e+17,1.0178252756595612,0.974092036485672,0.05883875908330083,0.2477416843175888,1.2796192318201065,0.9119843244552612,94.3568115234375,2678002810880.0,7.672538167508992e+16,0.9838703870773315,0.9313551783561707,0.05223606154322624,0.10997993499040604,1.2274317741394043,1.2274317741394043,1.2274317741394043
11.0,0.0005,6.13947981595993,0.0,0.9387143701314926,98.68652057647705,2799514386432.0,1.8728666925314867e+17,1.0127073973417282,0.9740918502211571,0.05460621789097786,0.2684610467404127,1.2751139998435974,0.9069972634315491,94.35679626464844,2565969543168.0,8.072933916698214e+16,0.9784902334213257,0.9313549995422363,0.05005078390240669,0.11571930348873138,1.2221200466156006,1.2221200466156006,1.2221200466156006
12.0,0.0005,6.116618305444717,0.0,0.9337562620639801,98.68650436401367,2743248584704.0,1.8178304447296307e+17,1.0073584839701653,0.9740916863083839,0.053508718963712454,0.2605720264837146,1.26926089823246,0.9020295143127441,94.35679626464844,2537375399936.0,1.0578443461512397e+17,0.9731309413909912,0.9313549995422363,0.04949303716421127,0.1516338586807251,1.2185007333755493,1.2185007333755493,1.2185007333755493
13.0,0.0005,6.195959687232971,0.0,0.9287117049098015,98.68649196624756,2754102394880.0,1.788794329062441e+17,1.00191630423069,0.9740915820002556,0.05372042814269662,0.2564099170267582,1.2636317163705826,0.897036075592041,94.35677337646484,2576478633984.0,1.344569576783872e+17,0.9677438735961914,0.931354820728302,0.05025577172636986,0.19273371994495392,1.2152448892593384,1.2152448892593384,1.2152448892593384
14.0,0.0005,6.28296560049057,0.0,0.9239111244678497,98.68647289276123,2707646709760.0,1.7870214739368346e+17,0.9967373013496399,0.9740913957357407,0.052814282942563295,0.2561557963490486,1.2583493739366531,0.8925439119338989,94.35675048828125,2507925880832.0,1.519779503449047e+17,0.9628975987434387,0.9313545823097229,0.04891860857605934,0.21784871816635132,1.2115205526351929,1.2115205526351929,1.2115205526351929
15.0,0.0005,6.426314830780029,0.0,0.9194223284721375,98.6864652633667,2623407718400.0,1.8340790254174208e+17,0.9918946772813797,0.9740913063287735,0.05117115005850792,0.26290113478899,1.25367970764637,0.887901246547699,94.35673522949219,2596448763904.0,1.6037392421381734e+17,0.9578890204429626,0.9313544034957886,0.05064529925584793,0.22988370060920715,1.2072862386703491,1.2072862386703491,1.2072862386703491
16.0,0.0005,6.60612940788269,0.0,0.9147463366389275,98.68645000457764,2630918307840.0,1.8784109477022925e+17,0.9868501275777817,0.9740911573171616,0.05131764989346266,0.2692557740956545,1.2489674538373947,0.883328914642334,94.35673522949219,2607465627648.0,1.7920378239398707e+17,0.9529562592506409,0.9313544034957886,0.05086018890142441,0.25687485933303833,1.2037246227264404,1.2037246227264404,1.2037246227264404
17.0,0.0005,6.777554571628571,0.0,0.9102415516972542,98.68645286560059,2561599176704.0,1.932414857164882e+17,0.9819902628660202,0.9740911796689034,0.0499655376188457,0.2769968193024397,1.2443594634532928,0.8787734508514404,94.35673522949219,2450655281152.0,2.0970696654769357e+17,0.9480417370796204,0.9313544034957886,0.047801509499549866,0.3005988299846649,1.2006903886795044,1.2006903886795044,1.2006903886795044
18.0,0.0005,7.060155749320984,0.0,0.9057227820158005,98.68642997741699,2563627679744.0,2.0177684415905792e+17,0.9771153032779694,0.9740909561514854,0.05000510485842824,0.28923159651458263,1.2401001155376434,0.874273419380188,94.3567123413086,2435548446720.0,2.301597726099374e+17,0.9431869983673096,0.9313542246818542,0.04750684276223183,0.3299163579940796,1.1972720623016357,1.1972720623016357,1.1972720623016357
19.0,0.0005,7.337857127189636,0.0,0.9012366384267807,98.68642520904541,2527251005440.0,2.0903207041918566e+17,0.9722755327820778,0.9740909114480019,0.049295556265860796,0.29963140562176704,1.2357093542814255,0.8698155879974365,94.3567123413086,2457300369408.0,2.4793829151552307e+17,0.9383777379989624,0.9313542246818542,0.04793112725019455,0.3554004728794098,1.193779468536377,1.193779468536377,1.193779468536377
20.0,0.0005,7.655323505401611,0.0,0.8967912197113037,98.68642807006836,2551298719744.0,2.18360737238614e+17,0.9674797132611275,0.9740909412503242,0.04976462060585618,0.31300333328545094,1.2316290587186813,0.86540287733078,94.3567123413086,2474527948800.0,2.7103707231000986e+17,0.9336172342300415,0.9313542246818542,0.04826715961098671,0.3885108232498169,1.1907079219818115,1.1907079219818115,1.1907079219818115
